restaurants open at 10 morning time,/->/s/#let s go{'time'= '10:00 am'|1|'10 morning time')}
available vegan restaurants at 10 am time,/s/->/s/#find table{'time'= '10:00 am'|1|'10 am time'; 'location restaurant or cuisine'= 'vegan'|0|'vegan')}
department bento nordstrom bellevue square may work can you tell me more about it,/s/->restaurant#restaurant{'restaurant'= 'department bento nordstrom bellevue square'|1|'department bento nordstrom bellevue square')}
available bellevue restaurants on july 10 2019 at 2:00,/->/s/#let s go{'location restaurant or cuisine'= 'bellevue'|0|'bellevue'; 'date'= '10 jul'|1|'july 10  2019'; 'time'= '2:00 am'|1|'2:00')}
find me kabab palace restaurants at 4:30 am time,/->/s/#let s go{'location restaurant or cuisine'= 'kabab palace'|0|'kabab palace'; 'time'= '4:30 am'|1|'4:30 am time')}
reserve headwaters bar and grill at 7 evening time,/s/->/book/details#time{'time'= '7:00 pm'|1|'7 evening time'; 'restaurant'= 'headwaters bar and grill'|1|'headwaters bar and grill')}
can I view more details on poquitos bothell,/s/->restaurant#restaurant{'restaurant'= 'poquitos bothell'|1|'poquitos bothell')}
authentic burgers restaurants open on august 6 2019,/->/s/#let s go{'location restaurant or cuisine'= 'burgers'|0|'burgers'; 'date'= '6 aug'|1|'august 6  2019')}
book me a rome restaurant for about 10 people on november 27 2019 at 4 o'clock,/->/s/#let s go{'location restaurant or cuisine'= 'rome'|0|'rome'; 'date'= '27 nov'|1|'november 27  2019'; 'time'= '4:00 pm'|1|"4 o'clock"; 'people'= '10 people'|1|'about 10 people')}
how is swiftwater cellars on old main,/s/->restaurant#restaurant{'restaurant'= 'swiftwater cellars on old main'|1|'swiftwater cellars on old main')}
find me a restaurant for just for 5,/->/s/#let s go{'people'= '5 people'|1|'just for 5')}||/s/->/s/#find table{'people'= '5 people'|1|'just for 5')}
available home made pasta restaurants on 16 sep 2019 at 7:30 am time,/->/s/#let s go{'location restaurant or cuisine'= 'home made pasta'|0|'home made pasta'; 'date'= '16 sep'|1|'16 sep 2019'; 'time'= '7:30 am'|1|'7:30 am time')}
find me boston restaurants on december 23 2019,/s/->/s/#find table{'date'= '23 dec'|1|'december 23  2019'; 'location restaurant or cuisine'= 'boston'|0|'boston')}
select the crab pot restaurant bar bellevue,/s/->restaurant#restaurant{'restaurant'= 'the crab pot restaurant bar bellevue'|1|'the crab pot restaurant bar bellevue')}
jewish deli restaurants,/s/->/s/#find table{'location restaurant or cuisine'= 'jewish deli'|0|'jewish deli')}
available salad restaurants for just for 6 on november 15 2019,/->/s/#let s go{'location restaurant or cuisine'= 'salad'|0|'salad'; 'date'= '15 nov'|1|'november 15  2019'; 'people'= '6 people'|1|'just for 6')}
some vegan restaurants for december 18 2019,/s/->/s/#find table{'date'= '18 dec'|1|'december 18  2019'; 'location restaurant or cuisine'= 'vegan'|0|'vegan')}
show me the photos of some plates for this place,restaurant->restaurant#restaurant details{'restaurant details'= 'photos'|1|'photos of some plates')}
which japanese restaurants are available,/s/->/s/#find table{'location restaurant or cuisine'= 'japanese'|0|'japanese')}
some steak places where I can go,/s/->/s/#find table{'location restaurant or cuisine'= 'steak'|0|'steak')}
book me a german restaurant for just me on july 18 2019 at 8:30 pm time,/s/->/s/#find table{'date'= '18 jul'|1|'july 18  2019'; 'time'= '8:30 pm'|1|'8:30 pm time'; 'people'= '1 people'|1|'just me'; 'location restaurant or cuisine'= 'german'|0|'german')}
how booked it is on 14 aug 2019,restaurant->restaurant#find table{'date'= '14 aug'|1|'14 aug 2019')}
Is the restaurant available at 6:15 in the evening,restaurant->/book/details#time{'time'= '6:15 pm'|1|'6:15 in the evening')}
restaurants in monterrey,/->City#featured international areas{'featured international areas'= 'monterrey mx'|1|'monterrey')}
what's available for 4 persons on 23 jul 2019,/s/->/s/#find table{'date'= '23 jul'|1|'23 jul 2019'; 'people'= '4 people'|1|'4 persons')}
restaurants open at 11 morning time,/s/->/s/#find table{'time'= '11:00 am'|1|'11 morning time')}
what's available at 17:00,/s/->/s/#find table{'time'= '5:00 pm'|1|'17:00')}
can you show me the menu photos and reviews of nico osteria restaurant,City->restaurant#select restaurant{'select restaurant'= 'tao chicago'|1|'nico osteria restaurant')}
which vegeterian restaurants are available for a large group of 20,/s/->/s/#find table{'people'= '20 people'|1|'a large group of 20'; 'location restaurant or cuisine'= 'vegeterian'|0|'vegeterian')}
book daniel's broiler bellevue at 6 pm time,/s/->/book/details#time{'time'= '6:00 pm'|1|'6 pm time'; 'restaurant'= "daniel's broiler bellevue"|1|"daniel's broiler bellevue")}
available mercato stellina restaurants for about 16 people on november 4 2019,/->/s/#let s go{'location restaurant or cuisine'= 'mercato stellina'|0|'mercato stellina'; 'date'= '4 nov'|1|'november 4  2019'; 'people'= '16 people'|1|'about 16 people')}
is it available for 7:00 in the evening,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7:00 in the evening')}
some vegetarian restaurants for july 8 2019,/s/->/s/#find table{'date'= '8 jul'|1|'july 8  2019'; 'location restaurant or cuisine'= 'vegetarian'|0|'vegetarian')}
reserve maggiano's bellevue at 6:00 evening time,/s/->/book/details#time{'time'= '6:00 pm'|1|'6:00 evening time'; 'restaurant'= "maggiano's bellevue"|1|"maggiano's bellevue")}
book andiamo bellevue at 5:30 evening time,/s/->/book/details#time{'time'= '5:30 pm'|1|'5:30 evening time'; 'restaurant'= 'andiamo bellevue'|1|'andiamo bellevue')}
which vancouver restaurants are available for the 8 of us at 2:00 in the morning on december 23 2019,/->/s/#let s go{'location restaurant or cuisine'= 'vancouver'|0|'vancouver'; 'date'= '23 dec'|1|'december 23  2019'; 'time'= '2:00 am'|1|'2:00 in the morning'; 'people'= '8 people'|1|'the 8 of us')}
authentic boston restaurants open on october 1 2019,/s/->/s/#find table{'date'= '1 oct'|1|'october 1  2019'; 'location restaurant or cuisine'= 'boston'|0|'boston')}
narrow down the results to union,State->City#city{'city'= 'union'|1|'union')}
book me a heritage restaurant restaurant for just for 11 on october 1 2019 at 2:30 in the morning,/s/->/s/#find table{'date'= '1 oct'|1|'october 1  2019'; 'time'= '2:30 am'|1|'2:30 in the morning'; 'people'= '11 people'|1|'just for 11'; 'location restaurant or cuisine'= 'heritage restaurant'|0|'heritage restaurant')}
I want a table here for 7 in the evening,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7 in the evening')}
blu sardinia restaurants for about 11 people,/->/s/#let s go{'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia'; 'people'= '11 people'|1|'about 11 people')}
is it available on december 2 2019 at 3 afternoon time,restaurant->restaurant#find table{'time'= '3:00 pm'|1|'3 afternoon time'; 'date'= '2 dec'|1|'december 2  2019')}
available israeli restaurants on august 14 2019 at 2:00 in the morning,/s/->/s/#find table{'date'= '14 aug'|1|'august 14  2019'; 'time'= '2:00 am'|1|'2:00 in the morning'; 'location restaurant or cuisine'= 'israeli'|0|'israeli')}
choose andiamo bellevue at 15:00,/s/->/book/details#time{'time'= '3:00 pm'|1|'15:00'; 'restaurant'= 'andiamo bellevue'|1|'andiamo bellevue')}
which greek restaurants are available,/s/->/s/#find table{'location restaurant or cuisine'= 'greek'|0|'greek')}
some austin restaurants for september 30 2019,/s/->/s/#find table{'date'= '30 sep'|1|'september 30  2019'; 'location restaurant or cuisine'= 'austin'|0|'austin')}
some good restaurants in sammamish,State->City#city{'city'= 'sammamish'|1|'sammamish')}
more info on vista prime steaks seafood,/s/->restaurant#restaurant{'restaurant'= 'vista prime steaks seafood'|1|'vista prime steaks seafood')}
what's available for 10 at 8 in the evening on 5 nov 2019,/s/->/s/#find table{'date'= '5 nov'|1|'5 nov 2019'; 'time'= '8:00 pm'|1|'8 in the evening'; 'people'= '10 people'|1|'10')}
which chilean restaurants are available for 6 persons at 2:00 pm time on august 5 2019,/s/->/s/#find table{'date'= '5 aug'|1|'august 5  2019'; 'time'= '2:00 pm'|1|'2:00 pm time'; 'people'= '6 people'|1|'6 persons'; 'location restaurant or cuisine'= 'chilean'|0|'chilean')}
available restaurants for just for 12 on 7 nov 2019 at 14:30,/s/->/s/#find table{'date'= '7 nov'|1|'7 nov 2019'; 'time'= '2:30 pm'|1|'14:30'; 'people'= '12 people'|1|'just for 12')}
where is blvd restaurant,City->restaurant#select restaurant{'select restaurant'= 'blvd'|1|'blvd restaurant')}
find me home made pasta restaurants,/->/s/#let s go{'location restaurant or cuisine'= 'home made pasta'|0|'home made pasta')}||/s/->/s/#find table{'location restaurant or cuisine'= 'home made pasta'|0|'home made pasta')}
I want to know more about fogo de chao brazilian steakhouse bellevue,/s/->restaurant#restaurant{'restaurant'= 'fogo de chao brazilian steakhouse bellevue'|1|'fogo de chao brazilian steakhouse bellevue')}
how booked it is on 16 jul 2019,restaurant->restaurant#find table{'date'= '16 jul'|1|'16 jul 2019')}
which whistler restaurants are available on september 13 2019,/s/->/s/#find table{'date'= '13 sep'|1|'september 13  2019'; 'location restaurant or cuisine'= 'whistler'|0|'whistler')}
select cantinetta bellevue,/s/->restaurant#restaurant{'restaurant'= 'cantinetta bellevue'|1|'cantinetta bellevue')}
authentic redmond restaurants open on december 6 2019,/->/s/#let s go{'location restaurant or cuisine'= 'redmond'|0|'redmond'; 'date'= '6 dec'|1|'december 6  2019')}
reserve andiamo bellevue at 6:15 pm in the evening,/s/->/book/details#time{'time'= '6:15 pm'|1|'6:15 pm in the evening'; 'restaurant'= 'andiamo bellevue'|1|'andiamo bellevue')}
book me a jewish deli restaurant for the 16 of us on 9 dec 2019 at 10:30,/s/->/s/#find table{'date'= '9 dec'|1|'9 dec 2019'; 'time'= '10:30 am'|1|'10:30'; 'people'= '16 people'|1|'the 16 of us'; 'location restaurant or cuisine'= 'jewish deli'|0|'jewish deli')}
confirm my table for 7:00 evening time,restaurant->/book/details#time{'time'= '7:00 pm'|1|'7:00 evening time')}
what about a table here at 7 am time for 10 people,restaurant->restaurant#find table{'time'= '7:00 am'|1|'7 am time'; 'party size'= '10'|1|'10 people')}
what about a table here at 6 pm time for 13 guests,restaurant->restaurant#find table{'time'= '6:00 pm'|1|'6 pm time'; 'party size'= '13'|1|'13 guests')}
I want inchin bamboo garden bothell,/s/->restaurant#restaurant{'restaurant'= 'inchin bamboo garden bothell'|1|'inchin bamboo garden bothell')}
find me jj mahoney s irish pub restaurants,/->/s/#let s go{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}||/s/->/s/#find table{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub')}
what's available for the 12 of us,/s/->/s/#find table{'people'= '12 people'|1|'the 12 of us')}
find me latin american restaurants at 11:30 am time,/s/->/s/#find table{'time'= '11:30 am'|1|'11:30 am time'; 'location restaurant or cuisine'= 'latin american'|0|'latin american')}
some taylor shellfish oyster bar places where I can go,/->/s/#let s go{'location restaurant or cuisine'= 'taylor shellfish oyster bar bellevue'|0|'taylor shellfish oyster bar')}
available vietnamese restaurants for about 11 people on 8 aug 2019,/s/->/s/#find table{'date'= '8 aug'|1|'8 aug 2019'; 'people'= '11 people'|1|'about 11 people'; 'location restaurant or cuisine'= 'vietnamese'|0|'vietnamese')}
how booked it is on 19 aug 2019,restaurant->restaurant#find table{'date'= '19 aug'|1|'19 aug 2019')}
restaurants open at 19:00,/->/s/#let s go{'time'= '7:00 pm'|1|'19:00')}
available drinks only restaurants for a party of 12 people,/s/->/s/#find table{'people'= '12 people'|1|'a party of 12 people'; 'location restaurant or cuisine'= 'drinks only'|0|'drinks only')}
book andiamo bellevue at 4:00 pm time,/s/->/book/details#time{'time'= '4:00 pm'|1|'4:00 pm time'; 'restaurant'= 'andiamo bellevue'|1|'andiamo bellevue')}
places where to eat in atlanta,/->City#featured areas{'featured areas'= 'atlanta'|1|'atlanta')}
find me a restaurant for 2:00 morning time,/s/->/s/#find table{'time'= '2:00 am'|1|'2:00 morning time')}
book me a osteria langhe restaurant restaurant for a party of 11 people on 6 nov 2019 at 11:00 am in the morning,/->/s/#let s go{'location restaurant or cuisine'= 'osteria langhe'|0|'osteria langhe restaurant'; 'date'= '6 nov'|1|'6 nov 2019'; 'time'= '11:00 am'|1|'11:00 am in the morning'; 'people'= '11 people'|1|'a party of 11 people')}
find me a restaurant for 15 on 8 aug 2019 at 4:30 in the morning,/s/->/s/#find table{'date'= '8 aug'|1|'8 aug 2019'; 'time'= '4:30 am'|1|'4:30 in the morning'; 'people'= '15 people'|1|'15')}
find me soup restaurants for a group of 8 friends,/->/s/#let s go{'location restaurant or cuisine'= 'soup'|0|'soup'; 'people'= '8 people'|1|'a group of 8 friends')}
tell me more about sugar factory bravern bellevue,/s/->restaurant#restaurant{'restaurant'= 'sugar factory bravern bellevue'|1|'sugar factory bravern bellevue')}
which taylor shellfish oyster bar restaurants are available for 14 people,/->/s/#let s go{'location restaurant or cuisine'= 'taylor shellfish oyster bar bellevue'|0|'taylor shellfish oyster bar'; 'people'= '14 people'|1|'14 people')}
find me munich restaurants at 8:30 in the morning,/->/s/#let s go{'location restaurant or cuisine'= 'munich'|0|'munich'; 'time'= '8:30 am'|1|'8:30 in the morning')}
yes reserve this resturant for 6:00 evening time,restaurant->/book/details#time{'time'= '6:00 pm'|1|'6:00 evening time')}
find me agave cocina cantina redmond restaurants on november 18 2019,/->/s/#let s go{'location restaurant or cuisine'= 'agave cocina cantina redmond'|0|'agave cocina cantina redmond'; 'date'= '18 nov'|1|'november 18  2019')}
I want a table here for 6:45 in the evening,restaurant->/book/details#time{'time'= '6:45 pm'|1|'6:45 in the evening')}
I want mercato stellina pizzeria,/s/->restaurant#restaurant{'restaurant'= 'mercato stellina pizzeria'|1|'mercato stellina pizzeria')}
is it available on 24 sep 2019 at 11:30 morning time,restaurant->restaurant#find table{'time'= '11:30 am'|1|'11:30 morning time'; 'date'= '24 sep'|1|'24 sep 2019')}
choose andiamo bellevue at 4 o'clock,/s/->/book/details#time{'time'= '4:00 pm'|1|"4 o'clock"; 'restaurant'= 'andiamo bellevue'|1|'andiamo bellevue')}
which the bistro at hollywood schoolhouse restaurants are available at 4:30 on november 15 2019,/s/->/s/#find table{'date'= '15 nov'|1|'november 15  2019'; 'time'= '4:30 am'|1|'4:30'; 'location restaurant or cuisine'= 'the bistro at hollywood schoolhouse'|0|'the bistro at hollywood schoolhouse')}
what's available for a party of 1 on july 25 2019,/s/->/s/#find table{'date'= '25 jul'|1|'july 25  2019'; 'people'= '1 people'|1|'a party of 1')}
what's available for a party of 2 people,/s/->/s/#find table{'people'= '2 people'|1|'a party of 2 people')}
find me portuguese restaurants at 8:00 in the morning,/s/->/s/#find table{'time'= '8:00 am'|1|'8:00 in the morning'; 'location restaurant or cuisine'= 'portuguese'|0|'portuguese')}
some georgian restaurants for november 27 2019,/s/->/s/#find table{'date'= '27 nov'|1|'november 27  2019'; 'location restaurant or cuisine'= 'georgian'|0|'georgian')}
any more information on the veggie options of the restaurant,restaurant->restaurant#menu type{'menu type'= 'vegetarian menu'|1|'veggie options')}
do they have any table left on july 11 2019,restaurant->restaurant#find table{'date'= '11 jul'|1|'july 11  2019')}
go to wild ginger bellevue,/s/->restaurant#restaurant{'restaurant'= 'wild ginger bellevue'|1|'wild ginger bellevue')}
can you get me a table at this one at 6:45 pm in the evening,restaurant->/book/details#time{'time'= '6:45 pm'|1|'6:45 pm in the evening')}
authentic tutta bella restaurants open on december 26 2019,/s/->/s/#find table{'date'= '26 dec'|1|'december 26  2019'; 'location restaurant or cuisine'= 'tutta bella'|0|'tutta bella')}
available new york restaurants for 19,/s/->/s/#find table{'people'= '19 people'|1|'19'; 'location restaurant or cuisine'= 'new york'|0|'new york')}
I want only results for portland region,/s/->/s/#region{'region'= 'portland'|1|'portland region')}
restaurants open at 6:30 morning time,/->/s/#let s go{'time'= '6:30 am'|1|'6:30 morning time')}
how booked it is on 27 nov 2019,restaurant->restaurant#find table{'date'= '27 nov'|1|'27 nov 2019')}
find me cafe juanita restaurants for about 8 people on july 1 2019 at 1 morning time,/s/->/s/#find table{'date'= '1 jul'|1|'july 1  2019'; 'time'= '1:00 am'|1|'1 morning time'; 'people'= '8 people'|1|'about 8 people'; 'location restaurant or cuisine'= 'cafe juanita'|0|'cafe juanita')}
whistler restaurants for 19 persons,/s/->/s/#find table{'people'= '19 people'|1|'19 persons'; 'location restaurant or cuisine'= 'whistler'|0|'whistler')}
reserve gyu kaku bellevue at 9:15 pm in the evening,/s/->/book/details#time{'time'= '9:15 pm'|1|'9:15 pm in the evening'; 'restaurant'= 'gyu kaku bellevue'|1|'gyu kaku bellevue')}
show me some sushi restaurants,/->/s/#let s go{'location restaurant or cuisine'= 'sushi'|0|'sushi')}||/s/->/s/#find table{'location restaurant or cuisine'= 'sushi'|0|'sushi')}
what about a table here at 7 in the evening for a party of 4 people,restaurant->restaurant#find table{'time'= '7:00 pm'|1|'7 in the evening'; 'party size'= '4'|1|'a party of 4 people')}
Is the restaurant available at 5:30 in the evening,restaurant->/book/details#time{'time'= '5:30 pm'|1|'5:30 in the evening')}
find me pasta restaurants on august 8 2019 at 2:00 pm time,/s/->/s/#find table{'date'= '8 aug'|1|'august 8  2019'; 'time'= '2:00 pm'|1|'2:00 pm time'; 'location restaurant or cuisine'= 'pasta'|0|'pasta')}
available izumi restaurants for about 18 people on 11 oct 2019 at 6:30 pm time,/->/s/#let s go{'location restaurant or cuisine'= 'izumi'|0|'izumi'; 'date'= '11 oct'|1|'11 oct 2019'; 'time'= '6:30 pm'|1|'6:30 pm time'; 'people'= '18 people'|1|'about 18 people')}
go ahead with the reservation under my name adam whitaker,/book/details->/book/view#complete reservation{'first name'= 'adam'|0|'adam'; 'last name'= 'whitaker'|0|'whitaker')}
ramen restaurants,/s/->/s/#find table{'location restaurant or cuisine'= 'ramen'|0|'ramen')}
available amsterdam restaurants on 12 jul 2019 at 12:30,/->/s/#let s go{'location restaurant or cuisine'= 'amsterdam'|0|'amsterdam'; 'date'= '12 jul'|1|'12 jul 2019'; 'time'= '12:30 am'|1|'12:30')}
available home made pasta restaurants for a party of 4 people on october 23 2019 at 9:30 pm in the night,/->/s/#let s go{'location restaurant or cuisine'= 'home made pasta'|0|'home made pasta'; 'date'= '23 oct'|1|'october 23  2019'; 'time'= '9:30 pm'|1|'9:30 pm in the night'; 'people'= '4 people'|1|'a party of 4 people')}
which cafe juanita restaurants are available at 14:00 on october 24 2019,/->/s/#let s go{'location restaurant or cuisine'= 'cafe juanita'|0|'cafe juanita'; 'date'= '24 oct'|1|'october 24  2019'; 'time'= '2:00 pm'|1|'14:00')}
find me a restaurant for 11 persons on august 1 2019,/s/->/s/#find table{'date'= '1 aug'|1|'august 1  2019'; 'people'= '11 people'|1|'11 persons')}
what's available at 2:30 in the morning,/->/s/#let s go{'time'= '2:30 am'|1|'2:30 in the morning')}
what's available for 17 persons at 9:30 on 8 aug 2019,/->/s/#let s go{'date'= '8 aug'|1|'8 aug 2019'; 'time'= '9:30 am'|1|'9:30'; 'people'= '17 people'|1|'17 persons')}
some seattle restaurants for 21 nov 2019,/s/->/s/#find table{'date'= '21 nov'|1|'21 nov 2019'; 'location restaurant or cuisine'= 'seattle'|0|'seattle')}
available blu sardinia restaurants for 3,/s/->/s/#find table{'people'= '3 people'|1|'3'; 'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia')}
which izakaya restaurants are available on 3 jul 2019,/s/->/s/#find table{'date'= '3 jul'|1|'3 jul 2019'; 'location restaurant or cuisine'= 'izakaya'|0|'izakaya')}
find me a restaurant for about 3 people on august 29 2019,/->/s/#let s go{'date'= '29 aug'|1|'august 29  2019'; 'people'= '3 people'|1|'about 3 people')}
find me a restaurant for just for 11 on october 29 2019 at 12:00 morning time,/s/->/s/#find table{'date'= '29 oct'|1|'october 29  2019'; 'time'= '12:00 am'|1|'12:00 morning time'; 'people'= '11 people'|1|'just for 11')}
available new york restaurants for a party of 9 people,/s/->/s/#find table{'people'= '9 people'|1|'a party of 9 people'; 'location restaurant or cuisine'= 'new york'|0|'new york')}
authentic san francisco restaurants open on 10 sep 2019,/s/->/s/#find table{'date'= '10 sep'|1|'10 sep 2019'; 'location restaurant or cuisine'= 'san francisco'|0|'san francisco')}
I want to know more about ascend prime steak sushi,/s/->restaurant#restaurant{'restaurant'= 'ascend prime steak sushi'|1|'ascend prime steak sushi')}
some kabab restaurants on september 10 2019,/->/s/#let s go{'location restaurant or cuisine'= 'kabab'|0|'kabab'; 'date'= '10 sep'|1|'september 10  2019')}
find me tao chicago restaurant restaurants on 28 oct 2019,/s/->/s/#find table{'date'= '28 oct'|1|'28 oct 2019'; 'location restaurant or cuisine'= 'tao chicago'|0|'tao chicago restaurant')}
available formento s restaurant restaurants on july 4 2019 at 7:30 am time,/->/s/#let s go{'location restaurant or cuisine'= 'formento s'|0|'formento s restaurant'; 'date'= '4 jul'|1|'july 4  2019'; 'time'= '7:30 am'|1|'7:30 am time')}
comments from other people please,restaurant->restaurant#restaurant details{'restaurant details'= 'reviews'|1|'comments from other people')}
restaurant for just for 13,/s/->/s/#find table{'people'= '13 people'|1|'just for 13')}
what's the availability on october 29 2019 for 8 guests,restaurant->restaurant#find table{'date'= '29 oct'|1|'october 29  2019'; 'party size'= '8'|1|'8 guests')}
find me munich restaurants at 6:00,/s/->/s/#find table{'time'= '6:00 am'|1|'6:00'; 'location restaurant or cuisine'= 'munich'|0|'munich')}
available belgian restaurants for a group of 17 friends,/s/->/s/#find table{'people'= '17 people'|1|'a group of 17 friends'; 'location restaurant or cuisine'= 'belgian'|0|'belgian')}
find me bj s restaurant brewhouse redmond restaurants for just for 16 on july 29 2019 at 1:30 afternoon time,/->/s/#let s go{'location restaurant or cuisine'= 'bj s restaurant brewhouse redmond'|0|'bj s restaurant brewhouse redmond'; 'date'= '29 jul'|1|'july 29  2019'; 'time'= '1:30 pm'|1|'1:30 afternoon time'; 'people'= '16 people'|1|'just for 16')}
what's the availability on 15 oct 2019 for just for 14,restaurant->restaurant#find table{'date'= '15 oct'|1|'15 oct 2019'; 'party size'= '14'|1|'just for 14')}
kosher restaurants for a party of 11 people,/s/->/s/#find table{'people'= '11 people'|1|'a party of 11 people'; 'location restaurant or cuisine'= 'kosher'|0|'kosher')}
what's the avaiability on 6 sep 2019,restaurant->restaurant#find table{'date'= '6 sep'|1|'6 sep 2019')}
can I book on december 25 2019 at 5:30 am in the morning for 16 guests,restaurant->restaurant#find table{'time'= '5:30 am'|1|'5:30 am in the morning'; 'date'= '25 dec'|1|'december 25  2019'; 'party size'= '16'|1|'16 guests')}
more info about the restaurant jep s chef house at preservation kitchen,/s/->restaurant#restaurant{'restaurant'= 'jep s chef house at preservation kitchen'|1|'jep s chef house at preservation kitchen')}
find me a restaurant for a large group of 20 on september 30 2019,/->/s/#let s go{'date'= '30 sep'|1|'september 30  2019'; 'people'= '20 people'|1|'a large group of 20')}
places where to eat in maryland state,/->State#restaurants in the united states{'restaurants in the united states'= 'maryland'|1|'maryland state')}
which blu sardinia restaurants are available on october 28 2019,/s/->/s/#find table{'date'= '28 oct'|1|'october 28  2019'; 'location restaurant or cuisine'= 'blu sardinia'|0|'blu sardinia')}
yes reserve this resturant for 6:15 in the evening,restaurant->/book/details#time{'time'= '6:15 pm'|1|'6:15 in the evening')}
available restaurants for 1 on october 30 2019 at 7:00 evening time,/s/->/s/#find table{'date'= '30 oct'|1|'october 30  2019'; 'time'= '7:00 pm'|1|'7:00 evening time'; 'people'= '1 people'|1|'1')}
find me a restaurant for 11 on december 31 2019 at 6:30,/s/->/s/#find table{'date'= '31 dec'|1|'december 31  2019'; 'time'= '6:30 am'|1|'6:30'; 'people'= '11 people'|1|'11')}
more details on spice route,/s/->restaurant#restaurant{'restaurant'= 'spice route'|1|'spice route')}
available jj mahoney s irish pub restaurants on 15 jul 2019 at 13:30,/->/s/#let s go{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub'; 'date'= '15 jul'|1|'15 jul 2019'; 'time'= '1:30 pm'|1|'13:30')}
reserve this one and give bob smith as contact person,/book/details->/book/view#complete reservation{'first name'= 'bob'|0|'bob'; 'last name'= 'smith'|0|'smith')}
available restaurants for a group of 16 friends on 12 dec 2019 at 6:00,/s/->/s/#find table{'date'= '12 dec'|1|'12 dec 2019'; 'time'= '6:00 am'|1|'6:00'; 'people'= '16 people'|1|'a group of 16 friends')}
available jj mahoney s irish pub restaurants for the 12 of us,/->/s/#let s go{'location restaurant or cuisine'= 'jj mahoney s irish pub'|0|'jj mahoney s irish pub'; 'people'= '12 people'|1|'the 12 of us')}
where is hector s restaurant,/s/->restaurant#restaurant{'restaurant'= 'hector s restaurant'|1|'hector s restaurant')}
available heritage restaurant restaurants on september 12 2019,/s/->/s/#find table{'date'= '12 sep'|1|'september 12  2019'; 'location restaurant or cuisine'= 'heritage restaurant'|0|'heritage restaurant')}
which redmond restaurants are available for the 6 of us at 3:00 am time on december 10 2019,/s/->/s/#find table{'date'= '10 dec'|1|'december 10  2019'; 'time'= '3:00 am'|1|'3:00 am time'; 'people'= '6 people'|1|'the 6 of us'; 'location restaurant or cuisine'= 'redmond'|0|'redmond')}
available ristorante paradiso restaurants on 18 sep 2019,/->/s/#let s go{'location restaurant or cuisine'= 'ristorante paradiso'|0|'ristorante paradiso'; 'date'= '18 sep'|1|'18 sep 2019')}||/s/->/s/#find table{'date'= '18 sep'|1|'18 sep 2019'; 'location restaurant or cuisine'= 'ristorante paradiso'|0|'ristorante paradiso')}
what's available for a party of 15 people at 12 in the night on 3 oct 2019,/s/->/s/#find table{'date'= '3 oct'|1|'3 oct 2019'; 'time'= '12:00 pm'|1|'12 in the night'; 'people'= '15 people'|1|'a party of 15 people')}
find me kabab restaurants for a party of 7 on november 14 2019 at 18:00,/->/s/#let s go{'location restaurant or cuisine'= 'kabab'|0|'kabab'; 'date'= '14 nov'|1|'november 14  2019'; 'time'= '6:00 pm'|1|'18:00'; 'people'= '7 people'|1|'a party of 7')}
find me a restaurant for a group of 19 friends on 23 oct 2019 at 5:30 in the evening,/->/s/#let s go{'date'= '23 oct'|1|'23 oct 2019'; 'time'= '5:30 pm'|1|'5:30 in the evening'; 'people'= '19 people'|1|'a group of 19 friends')}
I want agave cocina cantina redmond,/s/->restaurant#restaurant{'restaurant'= 'agave cocina cantina redmond'|1|'agave cocina cantina redmond')}
what's available at 6:30,/->/s/#let s go{'time'= '6:30 am'|1|'6:30')}||/s/->/s/#find table{'time'= '6:30 am'|1|'6:30')}
show me the restaurant details of barking frog,/->restaurant#popular restaurants{'popular restaurants'= 'barking frog'|1|'barking frog')}
find me heritage restaurant restaurants for 15,/->/s/#let s go{'location restaurant or cuisine'= 'heritage restaurant'|0|'heritage restaurant'; 'people'= '15 people'|1|'15')}
available restaurants for 13 on august 30 2019 at 4:30 morning time,/->/s/#let s go{'date'= '30 aug'|1|'august 30  2019'; 'time'= '4:30 am'|1|'4:30 morning time'; 'people'= '13 people'|1|'13')}
find me a restaurant for a party of 19 people on 4 jul 2019 at 2  o'clock,/->/s/#let s go{'date'= '4 jul'|1|'4 jul 2019'; 'time'= '2:00 pm'|1|"2  o'clock"; 'people'= '19 people'|1|'a party of 19 people')}
can they accomodate a party of 13 people on 25 oct 2019,restaurant->restaurant#find table{'date'= '25 oct'|1|'25 oct 2019'; 'party size'= '13'|1|'a party of 13 people')}
available milan restaurants for a group of 13 friends on september 20 2019 at 3:30,/->/s/#let s go{'location restaurant or cuisine'= 'milan'|0|'milan'; 'date'= '20 sep'|1|'september 20  2019'; 'time'= '3:30 am'|1|'3:30'; 'people'= '13 people'|1|'a group of 13 friends')}
do have availability for just for 8,restaurant->restaurant#find table{'party size'= '8'|1|'just for 8')}
nico osteria restaurant may work can you tell me more about it,City->restaurant#select restaurant{'select restaurant'= 'tao chicago'|1|'nico osteria restaurant')}
