keep only ahnu,/search->/search#filter by brand{'filter by brand'= 'ahnu'|1|'ahnu')}
fill in the checkout details as follows: city is new york street address is 2134 e ontario st. and my full name is richard williams,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'new york'|0|'new york'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'williams'|0|'williams'; 'first name'= 'richard'|0|'richard')}
under mountaineering search down & insulated,/->/search#select sub category{'select category'= 'climb'|1|'mountaineering'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
Show me all hooded options,/search->/search#filter by best use{'filter by best use'= 'hooded'|1|'hooded')}
go to women and pick rain jackets,/->/search#select sub category{'select category'= 'women'|1|'women'; 'select sub category'= 'rain jackets'|1|'rain jackets')}
in the kids category select down & insulated,/->/search#select sub category{'select category'= 'kids'|1|'kids'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
my full address is 2134 e ontario st. sf georgia 60612 germany and my name is john ponting,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '60612'|0|'60612'; 'state'= 'georgia'|1|'georgia'; 'country'= 'germany'|1|'germany'; 'city'= 'san fransisco'|0|'sf'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'ponting'|0|'ponting'; 'first name'= 'john'|0|'john')}
filter the results by synthetic,/search->/search#filter by best use{'filter by best use'= 'synthetic'|1|'synthetic')}
update the number of items for goodr og sunglasses to 5,/ShoppingCart->/ShoppingCart#change quantity{'select product'= 'goodr og sunglasses'|1|'goodr og sunglasses'; 'change quantity'= '5'|1|'5')}
I want to get the black in size moderate,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'select size'= 'm'|1|'moderate')}
my full address is 3123 s taylor st. london new hampshire 60612 china and my name is james williams,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '60612'|0|'60612'; 'state'= 'new hampshire'|1|'new hampshire'; 'country'= 'china'|1|'china'; 'city'= 'london'|0|'london'; 'street address'= '3123 s taylor st.'|0|'3123 s taylor st.'; 'last name'= 'williams'|0|'williams'; 'first name'= 'james'|0|'james')}
I'm interested only in marmot,/search->/search#filter by brand{'filter by brand'= 'marmot'|1|'marmot')}
I'm interested in additional and casual jackets,/->/search#select sub category{'select category'= 'more'|1|'additional'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
I want to see only eight sizes,/search->/search#filter by size{'filter by size'= '8'|1|'eight')}
my details are  70745 as zip code georgia as state uk as country new delhi as city 3245 w roosevelt road as address miller as surname and michael as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '70745'|0|'70745'; 'state'= 'georgia'|1|'georgia'; 'country'= 'uk'|1|'uk'; 'city'= 'new delhi'|0|'new delhi'; 'street address'= '3245 w roosevelt road'|0|'3245 w roosevelt road'; 'last name'= 'miller'|0|'miller'; 'first name'= 'michael'|0|'michael')}
I'd like something that is good for medium brand,/search->/search#filter by best use{'filter by best use'= 'medium'|1|'medium')}
the only brand I want is lowa,/search->/search#filter by brand{'filter by brand'= 'lowa'|1|'lowa')}
go to additional and pick casual jackets,/->/search#select sub category{'select category'= 'more'|1|'additional'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
t shirts,/->/search#search{'search for great gear clothing'= 't-shirts'|0|'t-shirts')}
which are houdini,/search->/search#filter by brand{'filter by brand'= 'houdini'|1|'houdini')}
fill in the checkout details as follows: city is chicago street address is 3123 s taylor st. and my full name is john williams,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'chicago'|0|'chicago'; 'street address'= '3123 s taylor st.'|0|'3123 s taylor st.'; 'last name'= 'williams'|0|'williams'; 'first name'= 'john'|0|'john')}
enter 43677 as zip code west virginia as state us as country ny as city 2134 e ontario st. as street address smith as last name and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '43677'|0|'43677'; 'state'= 'west virginia'|1|'west virginia'; 'country'= 'united states'|1|'us'; 'city'= 'new york'|0|'ny'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'smith'|0|'smith'; 'first name'= 'john'|0|'john')}
add six in color white and size s to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'select size'= 's'|1|'s'; 'change quantity'= '6'|1|'six')}
filter the results by recycled materials,/search->/search#filter by best use{'filter by best use'= 'recycled materials'|1|'recycled materials')}
is there any option with quiksilver waterman brand,/search->/search#filter by brand{'filter by brand'= 'quiksilver waterman'|1|'quiksilver waterman')}
add six in color yellow and size big to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'yellow'|1|'yellow'; 'select size'= 'l'|1|'big'; 'change quantity'= '6'|1|'six')}
restrict the results to tecnica,/search->/search#filter by brand{'filter by brand'= 'tecnica'|1|'tecnica')}
in the trips department open running jackets,/->/search#select sub category{'select category'= 'travel'|1|'trips'; 'select sub category'= 'running jackets'|1|'running jackets')}
order the option in black and size m just ten pieces with the option store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'm'|1|'m'; 'change quantity'= '10'|1|'ten')}
I'm interested only in hooded,/search->/search#filter by best use{'filter by best use'= 'hooded'|1|'hooded')}
fill in the checkout details as follows: city is london street address is 2331 n ashland ave and my full name is richard miller,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'london'|0|'london'; 'street address'= '2331 n ashland ave'|0|'2331 n ashland ave'; 'last name'= 'miller'|0|'miller'; 'first name'= 'richard'|0|'richard')}
to pay you can use my card with the following details: number is 1.12345e15 and security code is 123 and it expires on 11 of 2022,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12345e+15'|0|'1.12345e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '11-nov'|1|'11'; 'expiration year'= '2022'|1|'2022')}
add four in color green and size xl to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'green'|1|'green'; 'select size'= 'xl'|1|'xl'; 'change quantity'= '4'|1|'four')}
enter name as james and surname as smith,/checkout/billing-address->/checkout/contact-info#continue{'last name'= 'smith'|0|'smith'; 'first name'= 'james'|0|'james')}
my details are  43677 as zip code arizona as state australia as country los angeles as city 1033 s oakley blvd. as address smith as surname and robert as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '43677'|0|'43677'; 'state'= 'arizona'|1|'arizona'; 'country'= 'australia'|1|'australia'; 'city'= 'los angeles'|0|'los angeles'; 'street address'= '1033 s oakley blvd.'|0|'1033 s oakley blvd.'; 'last name'= 'smith'|0|'smith'; 'first name'= 'robert'|0|'robert')}
show me only the dakine ones,/search->/search#filter by brand{'filter by brand'= 'dakine'|1|'dakine')}
I'm interested in snow and wind shells,/->/search#select sub category{'select category'= 'snow'|1|'snow'; 'select sub category'= 'wind shells'|1|'wind shells')}
add one in color white and size large to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'select size'= 'l'|1|'large'; 'change quantity'= '1'|1|'one')}
enter 37566 as zip code maryland as state germany as country la as city 2331 n ashland ave as street address ponting as last name and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '37566'|0|'37566'; 'state'= 'maryland'|1|'maryland'; 'country'= 'germany'|1|'germany'; 'city'= 'los angeles'|0|'la'; 'street address'= '2331 n ashland ave'|0|'2331 n ashland ave'; 'last name'= 'ponting'|0|'ponting'; 'first name'= 'john'|0|'john')}
order the option in red and size small just 6 pieces with the option store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 's'|1|'small'; 'change quantity'= '6'|1|'6')}
I'm interested only in under armour,/search->/search#filter by brand{'filter by brand'= 'under armour'|1|'under armour')}
which are roamers & seekers,/search->/search#filter by brand{'filter by brand'= 'roamers & seekers'|1|'roamers & seekers')}
select the color black and size large and then add it to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'select size'= 'l'|1|'large')}
add six to my cart,/product/->Added to cart confirmation#add to cart{'change quantity'= '6'|1|'six')}
the gender should be kids' only,/search->/search#filter by gender{'filter by gender'= "kids'"|1|"kids'")}
Submit order with credit card number 4.56746e15 security code 123 expiration year 2024 and expiration month december,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '12-dec'|1|'december'; 'expiration year'= '2024'|1|'2024')}
to pay you can use my card with the following details: number is 1.23456e14 and security code is 123 and it expires on april of 2033,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.23456e+14'|0|'1.23456e+14'; 'security code'= '123'|0|'123'; 'expiration month'= '4-apr'|1|'april'; 'expiration year'= '2033'|1|'2033')}
select deliver to address and size largest and add it the cart,/product/->Added to cart confirmation#add to cart{'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'xxl'|1|'largest')}
Show me all cotopaxi options,/search->/search#filter by brand{'filter by brand'= 'cotopaxi'|1|'cotopaxi')}
browse casual jackets in the camp & hike category,/->/search#select sub category{'select category'= 'camp & hike'|1|'camp & hike'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
apply the women's clothing filter,/search->/search#filter by category{'filter by category'= "women's clothing"|1|"women's clothing")}
order an extra large black,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'select size'= 'xl'|1|'extra large')}
my full address is 3245 w roosevelt road la wisconsin 37566 denmark and my name is michael brown,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '37566'|0|'37566'; 'state'= 'wisconsin'|1|'wisconsin'; 'country'= 'denmark'|1|'denmark'; 'city'= 'los angeles'|0|'la'; 'street address'= '3245 w roosevelt road'|0|'3245 w roosevelt road'; 'last name'= 'brown'|0|'brown'; 'first name'= 'michael'|0|'michael')}
I want backpacks,/->/search#search{'search for great gear clothing'= 'backpacks'|0|'backpacks')}
filter by wool blend results,/search->/search#filter by best use{'filter by best use'= 'wool / wool blend'|1|'wool blend')}||/search->/search#filter by fabric type{'filter by fabric type'= 'wool / wool blend'|1|'wool blend')}
show me results for swimwear,/->/search#search{'search for great gear clothing'= 'swimwear'|0|'swimwear')}
fill in the checkout details as follows: city is boston street address is 4260 132nd ave ne and my full name is robert johnson,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'boston'|0|'boston'; 'street address'= '4260 132nd ave ne'|0|'4260 132nd ave ne'; 'last name'= 'johnson'|0|'johnson'; 'first name'= 'robert'|0|'robert')}
add 10 in color white and size extra large to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'select size'= 'xl'|1|'extra large'; 'change quantity'= '10'|1|'10')}
in the snow department open casual jackets,/->/search#select sub category{'select category'= 'snow'|1|'snow'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
Submit order with credit card number 1.12345e15 security code 123 expiration year 2026 and expiration month 10,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12345e+15'|0|'1.12345e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '10-oct'|1|'10'; 'expiration year'= '2026'|1|'2026')}
I'd like something with smartwool brand,/search->/search#filter by brand{'filter by brand'= 'smartwool'|1|'smartwool')}
the only brand I want is patagonia,/search->/search#filter by brand{'filter by brand'= 'patagonia'|1|'patagonia')}
alphabetical order re rank,/search->/search#sort results{'sort results'= 'brand: a z'|1|'alphabetical order')}
show me only five results,/search->/search#filter by size{'filter by size'= '5'|1|'five')}
I want to get the red in size small,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'select size'= 's'|1|'small')}
in the snow category select fleece & soft shell,/->/search#select sub category{'select category'= 'snow'|1|'snow'; 'select sub category'= 'fleece & soft shell'|1|'fleece & soft shell')}
go to men and pick casual jackets,/->/search#select sub category{'select category'= 'men'|1|'men'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
my full address is 1033 s oakley blvd. london colorado 43677 us and my name is michael smith,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '43677'|0|'43677'; 'state'= 'colorado'|1|'colorado'; 'country'= 'united states'|1|'us'; 'city'= 'london'|0|'london'; 'street address'= '1033 s oakley blvd.'|0|'1033 s oakley blvd.'; 'last name'= 'smith'|0|'smith'; 'first name'= 'michael'|0|'michael')}
filter by columbia,/search->/search#filter by brand{'filter by brand'= 'columbia'|1|'columbia')}
to pay you can use my card with the following details: number is 1.12346e15 and security code is 123 and it expires on feb of 2020,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.12346e+15'|0|'1.12346e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '2-feb'|1|'feb'; 'expiration year'= '2020'|1|'2020')}
go to snow and then click casual jackets,/->/search#select sub category{'select category'= 'snow'|1|'snow'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
enter 43677 as zip code new jersey as state uk as country los angeles as city 4260 132nd ave ne as street address johnson as last name and david as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '43677'|0|'43677'; 'state'= 'new jersey'|1|'new jersey'; 'country'= 'uk'|1|'uk'; 'city'= 'los angeles'|0|'los angeles'; 'street address'= '4260 132nd ave ne'|0|'4260 132nd ave ne'; 'last name'= 'johnson'|0|'johnson'; 'first name'= 'david'|0|'david')}
filter the results by green,/search->/search#filter by color{'filter by color'= 'green'|1|'green')}||/search->/search#filter by best use{'filter by best use'= 'green'|1|'green')}
Add to my cart an blue l and added it to my cart as store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'blue'|1|'blue'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'l'|1|'l')}
infant girls',/search->/search#filter by gender{'filter by gender'= "infant girls'"|1|"infant girls'")}
filter by khaki results,/search->/search#filter by color{'filter by color'= 'khaki'|1|'khaki')}
Add to my cart an white large and added it to my cart as store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'l'|1|'large')}
add 7 in color black and size moderate to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'black'|1|'black'; 'select size'= 'm'|1|'moderate'; 'change quantity'= '7'|1|'7')}
I want to see only xxl sizes,/search->/search#filter by size{'filter by size'= '2xl'|1|'xxl')}
filter by oboz results,/search->/search#filter by brand{'filter by brand'= 'oboz'|1|'oboz')}
order the option in pink and size s just 6 pieces with the option deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'pink'|1|'pink'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 's'|1|'s'; 'change quantity'= '6'|1|'6')}
in the additional category select casual jackets,/->/search#select sub category{'select category'= 'more'|1|'additional'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
Add to my cart an white xl and added it to my cart as deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'xl'|1|'xl')}
add 2 in color blue and size moderate to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'blue'|1|'blue'; 'select size'= 'm'|1|'moderate'; 'change quantity'= '2'|1|'2')}
add three in color yellow and size large to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'yellow'|1|'yellow'; 'select size'= 'l'|1|'large'; 'change quantity'= '3'|1|'three')}
I want the pink size very large,/product/->Added to cart confirmation#add to cart{'select color'= 'pink'|1|'pink'; 'select size'= 'xxl'|1|'very large')}
my details are  70745 as zip code guam as state uk as country london as city 2134 e ontario st. as address ponting as surname and richard as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '70745'|0|'70745'; 'state'= 'guam'|1|'guam'; 'country'= 'uk'|1|'uk'; 'city'= 'london'|0|'london'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'ponting'|0|'ponting'; 'first name'= 'richard'|0|'richard')}
order the option in orange and size large just nine pieces with the option store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'orange'|1|'orange'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'l'|1|'large'; 'change quantity'= '9'|1|'nine')}
details on insulated torrentshell jacket men's,/search->/product/#select product{'select product'= "insulated torrentshell jacket men's"|1|"insulated torrentshell jacket men's")}
go to travel and choose wind shells,/->/search#select sub category{'select category'= 'travel'|1|'travel'; 'select sub category'= 'wind shells'|1|'wind shells')}
go to snow and then click rain jackets,/->/search#select sub category{'select category'= 'snow'|1|'snow'; 'select sub category'= 'rain jackets'|1|'rain jackets')}
Add to my cart an red xxl and added it to my cart as store pick up,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'pick up mode'= 'pick up in store free'|1|'store pick up'; 'select size'= 'xxl'|1|'xxl')}
update quantity of saola semnoz iii shoes women's to 9,/ShoppingCart->/ShoppingCart#change quantity{'select product'= "saola semnoz iii shoes women's"|1|"saola semnoz iii shoes women's"; 'change quantity'= '9'|1|'9')}
fill in the checkout details as follows: city is ny street address is 2331 n ashland ave and my full name is richard brown,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'new york'|0|'ny'; 'street address'= '2331 n ashland ave'|0|'2331 n ashland ave'; 'last name'= 'brown'|0|'brown'; 'first name'= 'richard'|0|'richard')}
exclude what is not an eight,/search->/search#filter by size{'filter by size'= '8'|1|'eight')}
in the more category select running jackets,/->/search#select sub category{'select category'= 'more'|1|'more'; 'select sub category'= 'running jackets'|1|'running jackets')}
I'm interested only in hip length,/search->/search#filter by best use{'filter by best use'= 'hip length'|1|'hip length')}
in the men category select casual jackets,/->/search#select sub category{'select category'= 'men'|1|'men'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
in the kids department open down & insulated,/->/search#select sub category{'select category'= 'kids'|1|'kids'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
can you show me technical specifications of obermeyer haana insulated jacket,/search->/product/#select product{'select product'= "obermeyer haana insulated jacket girls'"|1|'obermeyer haana insulated jacket')}
down & insulated for trips,/->/search#select sub category{'select category'= 'travel'|1|'trips'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
pick peak deals 50% off,/->/search#select offer{'select offer'= 'peak deals 50% off'|1|'peak deals 50% off')}
the number of items for saola semnoz iii shoes women's is wrong change it to 7,/ShoppingCart->/ShoppingCart#change quantity{'select product'= "saola semnoz iii shoes women's"|1|"saola semnoz iii shoes women's"; 'change quantity'= '7'|1|'7')}
fill in the checkout details as follows: city is chicago street address is 3123 s taylor st. and my full name is richard ponting,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'chicago'|0|'chicago'; 'street address'= '3123 s taylor st.'|0|'3123 s taylor st.'; 'last name'= 'ponting'|0|'ponting'; 'first name'= 'richard'|0|'richard')}
under less than 12 years of age search down & insulated,/->/search#select sub category{'select category'= 'kids'|1|'less than 12 years of age'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
my details are  98005 as zip code washington as state poland as country ny as city 4260 132nd ave ne as address ponting as surname and richard as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '98005'|0|'98005'; 'state'= 'washington'|1|'washington'; 'country'= 'poland'|1|'poland'; 'city'= 'new york'|0|'ny'; 'street address'= '4260 132nd ave ne'|0|'4260 132nd ave ne'; 'last name'= 'ponting'|0|'ponting'; 'first name'= 'richard'|0|'richard')}
I'm looking for something jetty,/search->/search#filter by brand{'filter by brand'= 'jetty'|1|'jetty')}
browse casual jackets in the cycle category,/->/search#select sub category{'select category'= 'cycle'|1|'cycle'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
I want to see only extra large sizes,/search->/search#filter by size{'filter by size'= 'xl'|1|'extra large')}
I'm interested in mountaineering and down & insulated,/->/search#select sub category{'select category'= 'climb'|1|'mountaineering'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
apply the infant girls' filter,/search->/search#filter by gender{'filter by gender'= "infant girls'"|1|"infant girls'")}
apply 7.5 size filter,/search->/search#filter by size{'filter by size'= '7.5'|1|'7.5')}
apply eight size filter,/search->/search#filter by size{'filter by size'= '8'|1|'eight')}
open the page for rei co op mountainmaker pants boys',/search->/product/#select product{'select product'= "rei co op mountainmaker pants boys'"|1|"rei co op mountainmaker pants boys'")}
filter all the results by usd 25.00 to usd 49.99,/search->/search#filter by price{'filter by price'= '$25.00 to $49.99'|1|'usd 25.00 to usd 49.99')}
10 and half size results only,/search->/search#filter by size{'filter by size'= '10.5'|1|'10 and half')}
order the option in pink and size xl just 1 pieces with the option deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'pink'|1|'pink'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'xl'|1|'xl'; 'change quantity'= '1'|1|'1')}
Submit order with credit card number 4.56746e15 security code 123 expiration year 2025 and expiration month jun,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '6-jun'|1|'jun'; 'expiration year'= '2025'|1|'2025')}
fill in the checkout details as follows: city is boston street address is 1033 s oakley blvd. and my full name is john williams,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'boston'|0|'boston'; 'street address'= '1033 s oakley blvd.'|0|'1033 s oakley blvd.'; 'last name'= 'williams'|0|'williams'; 'first name'= 'john'|0|'john')}
fill in the checkout details as follows: city is boston street address is 1033 s oakley blvd. and my full name is robert smith,/checkout/billing-address->/checkout/contact-info#continue{'city'= 'boston'|0|'boston'; 'street address'= '1033 s oakley blvd.'|0|'1033 s oakley blvd.'; 'last name'= 'smith'|0|'smith'; 'first name'= 'robert'|0|'robert')}
the number of insulated torrentshell jacket men's should be 7,/ShoppingCart->/ShoppingCart#change quantity{'select product'= "insulated torrentshell jacket men's"|1|"insulated torrentshell jacket men's"; 'change quantity'= '7'|1|'7')}
Submit order with credit card number 1.23456e14 security code 123 expiration year 2021 and expiration month jul,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.23456e+14'|0|'1.23456e+14'; 'security code'= '123'|0|'123'; 'expiration month'= '7-jul'|1|'jul'; 'expiration year'= '2021'|1|'2021')}
I'd like something with tasc performance brand,/search->/search#filter by brand{'filter by brand'= 'tasc performance'|1|'tasc performance')}
Submit order with credit card number 4.56746e15 security code 123 expiration year 2021 and expiration month 10,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '10-oct'|1|'10'; 'expiration year'= '2021'|1|'2021')}
my details are  43677 as zip code nevada as state sweden as country london as city 2134 e ontario st. as address miller as surname and richard as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '43677'|0|'43677'; 'state'= 'nevada'|1|'nevada'; 'country'= 'sweden'|1|'sweden'; 'city'= 'london'|0|'london'; 'street address'= '2134 e ontario st.'|0|'2134 e ontario st.'; 'last name'= 'miller'|0|'miller'; 'first name'= 'richard'|0|'richard')}
fleece & soft shell for more,/->/search#select sub category{'select category'= 'more'|1|'more'; 'select sub category'= 'fleece & soft shell'|1|'fleece & soft shell')}
keep only kids' clothing results,/search->/search#filter by category{'filter by category'= "kids' clothing"|1|"kids' clothing")}
add it in size xl,/product/->Added to cart confirmation#add to cart{'select size'= 'xl'|1|'xl')}
I'll use this for black so filter by that,/search->/search#filter by best use{'filter by best use'= 'black'|1|'black')}
Show me all royal robbins options,/search->/search#filter by brand{'filter by brand'= 'royal robbins'|1|'royal robbins')}
add five in color red and size l to my cart,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'select size'= 'l'|1|'l'; 'change quantity'= '5'|1|'five')}
show me the maximum savings specials,/->/search#select offer{'select offer'= 'big savings'|1|'maximum savings')}
the number of items for the north face chilkat nylon boots is wrong change it to 6,/ShoppingCart->/ShoppingCart#change quantity{'select product'= 'the north face chilkat nylon boots'|1|'the north face chilkat nylon boots'; 'change quantity'= '6'|1|'6')}
Add to my cart an red big and added it to my cart as deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'red'|1|'red'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'l'|1|'big')}
enter 98005 as zip code kansas as state uk as country chicago as city 2331 n ashland ave as street address johnson as last name and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '98005'|0|'98005'; 'state'= 'kansas'|1|'kansas'; 'country'= 'uk'|1|'uk'; 'city'= 'chicago'|0|'chicago'; 'street address'= '2331 n ashland ave'|0|'2331 n ashland ave'; 'last name'= 'johnson'|0|'johnson'; 'first name'= 'john'|0|'john')}
in less than 12 years of age click on wind shells,/->/search#select sub category{'select category'= 'kids'|1|'less than 12 years of age'; 'select sub category'= 'wind shells'|1|'wind shells')}
make one more change before checking out: delete saola semnoz iii shoes women's,/ShoppingCart->/ShoppingCart#edit shopping cart items{'select product'= "saola semnoz iii shoes women's"|1|"saola semnoz iii shoes women's"; 'edit shopping cart items'= 'remove'|1|'delete')}
running jackets for paddle,/->/search#select sub category{'select category'= 'paddle'|1|'paddle'; 'select sub category'= 'running jackets'|1|'running jackets')}
only what is in usd 100.00 to usd 199.99,/search->/search#filter by price{'filter by price'= '$100.00 to $199.99'|1|'usd 100.00 to usd 199.99')}
proceed to the payment,/checkout/contact-info->/checkout/payment-method#continue{}
I'm interested in snow and casual jackets,/->/search#select sub category{'select category'= 'snow'|1|'snow'; 'select sub category'= 'casual jackets'|1|'casual jackets')}
to pay you can use my card with the following details: number is 1.23456e14 and security code is 123 and it expires on feb of 2029,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '1.23456e+14'|0|'1.23456e+14'; 'security code'= '123'|0|'123'; 'expiration month'= '2-feb'|1|'feb'; 'expiration year'= '2029'|1|'2029')}
I'm interested in obermeyer haana insulated jacket,/search->/product/#select product{'select product'= "obermeyer haana insulated jacket girls'"|1|'obermeyer haana insulated jacket')}
Submit order with credit card number 4.56746e15 security code 123 expiration year 2027 and expiration month 08,/checkout/payment-method->/checkout/confirmation#continue{'credit card'= '4.56746e+15'|0|'4.56746e+15'; 'security code'= '123'|0|'123'; 'expiration month'= '8-aug'|1|'08'; 'expiration year'= '2027'|1|'2027')}
enter 60612 as zip code virgin islands as state us as country chicago as city 1033 s oakley blvd. as street address brown as last name and john as first name,/checkout/billing-address->/checkout/contact-info#continue{'postal code'= '60612'|0|'60612'; 'state'= 'virgin islands'|1|'virgin islands'; 'country'= 'united states'|1|'us'; 'city'= 'chicago'|0|'chicago'; 'street address'= '1033 s oakley blvd.'|0|'1033 s oakley blvd.'; 'last name'= 'brown'|0|'brown'; 'first name'= 'john'|0|'john')}
order the option in brown and size big just 2 pieces with the option deliver to address,/product/->Added to cart confirmation#add to cart{'select color'= 'brown'|1|'brown'; 'pick up mode'= 'ship to address'|1|'deliver to address'; 'select size'= 'l'|1|'big'; 'change quantity'= '2'|1|'2')}
I want outdoor research,/search->/search#filter by best use{'filter by best use'= 'outdoor research'|1|'outdoor research')}
Show me all good for winter options,/search->/search#filter by best use{'filter by best use'= 'insulated'|1|'good for winter')}
I'm interested in gifts and ski & snowboard,/->/search#select sub category{'select category'= 'gifts'|1|'gifts'; 'select sub category'= 'ski & snowboard'|1|'ski & snowboard')}
in kids click on fleece & soft shell,/->/search#select sub category{'select category'= 'kids'|1|'kids'; 'select sub category'= 'fleece & soft shell'|1|'fleece & soft shell')}
very very large only,/search->/search#filter by size{'filter by size'= '2xl'|1|'very very large')}
in the more department open down & insulated,/->/search#select sub category{'select category'= 'more'|1|'more'; 'select sub category'= 'down & insulated'|1|'down & insulated')}
I want the white size s,/product/->Added to cart confirmation#add to cart{'select color'= 'white'|1|'white'; 'select size'= 's'|1|'s')}
