what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
what about a table here at 5:30 pm in the evening for the 2 of us,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'5:30 pm in the evening'; 'number of people'= 'for 2'|1|'the 2 of us')}
is it available on 5 sep 2019 at 2:30 in the afternoon,Restaurant->Restaurant availability#find table{'time'= '14:30'|1|'2:30 in the afternoon'; 'date'= '5 sep'|1|'5 sep 2019')}
can they accomodate a group of 12 friends on 26 sep 2019,Restaurant->Restaurant availability#find table{'date'= '26 sep'|1|'26 sep 2019'; 'number of people'= 'for 12'|1|'a group of 12 friends')}
can you get me a table at this one at 5:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 evening time')}
I want to reserve for 9:00 night time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 night time')}
can I book on 7 nov 2019 at 10:00 pm in the night for 4 persons,Restaurant->Restaurant availability#find table{'time'= '22:00'|1|'10:00 pm in the night'; 'date'= '7 nov'|1|'7 nov 2019'; 'number of people'= 'for 4'|1|'4 persons')}
anything free at 11:30 am time,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30 am time')}
I want a table here for 8:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 in the evening')}
do have availability for just for 10,Restaurant->Restaurant availability#find table{'number of people'= 'for 10'|1|'just for 10')}
reserve for joseph johnson and specify mark_taylor@outlook.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'joseph'|0|'joseph'; 'last name'= 'johnson'|0|'johnson'; 'phone number'= '4401233624'|0|'4401233624')}
is it available on 7 oct 2019 at 6:00 am in the morning,Restaurant->Restaurant availability#find table{'time'= '6:00'|1|'6:00 am in the morning'; 'date'= '7 oct'|1|'7 oct 2019')}
what's the availability on 18 oct 2019 for 5 people,Restaurant->Restaurant availability#find table{'date'= '18 oct'|1|'18 oct 2019'; 'number of people'= 'for 5'|1|'5 people')}
anything free at 5:30 am in the morning,Restaurant->Restaurant availability#find table{'time'= '5:30'|1|'5:30 am in the morning')}
can you reserve on 23 jul 2019 for 10 guests,Restaurant->Restaurant availability#find table{'date'= '23 jul'|1|'23 jul 2019'; 'number of people'= 'for 10'|1|'10 guests')}
is 6:30 in the evening still available,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 in the evening')}
I would like for you to make this reservation for me for 8:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 in the evening')}
can you reserve on july 10 2019 for the 9 of us,Restaurant->Restaurant availability#find table{'date'= '10 jul'|1|'july 10  2019'; 'number of people'= 'for 9'|1|'the 9 of us')}
make a reservation for this for 4:45 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 afternoon time')}
what's the avaiability on 1 aug 2019,Restaurant->Restaurant availability#find table{'date'= '1 aug'|1|'1 aug 2019')}
only bank & st. paul's options,/search-listings/->/search-listings/#location{'location'= "bank & st. paul's"|1|"bank & st. paul's")}
anything free at 12 night time,Restaurant->Restaurant availability#find table{'time'= '0:00'|1|'12 night time')}
what's the availability on december 12 2019 for the 9 of us,Restaurant->Restaurant availability#find table{'date'= '12 dec'|1|'december 12  2019'; 'number of people'= 'for 9'|1|'the 9 of us')}
find me a table here for 5 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 pm time')}
do have availability for a party of 11 people,Restaurant->Restaurant availability#find table{'number of people'= 'for 11'|1|'a party of 11 people')}
what's the availability on july 15 2019 for 1,Restaurant->Restaurant availability#find table{'date'= '15 jul'|1|'july 15  2019'; 'number of people'= 'for 1'|1|'1')}
can I book on december 31 2019 at 10:30 pm time for the 9 of us,Restaurant->Restaurant availability#find table{'time'= '22:30'|1|'10:30 pm time'; 'date'= '31 dec'|1|'december 31  2019'; 'number of people'= 'for 9'|1|'the 9 of us')}
make a reservation for this for 9:00 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 in the night')}
i'm not bothered about offers,/search-listings/->/search-listings/#show restaurants with offer{'show restaurants with offer'= 'false'|1|"i'm not bothered about offers")}
reserve for brian taylor and specify david123@gmail.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '4401233624'|0|'4401233624')}
what are the negative opinions about this place,Restaurant->Restaurant#reviews{'reviews'= 'reviews'|1|'what are the negative opinions about this place')}
I want to know more about the real greek bankside,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'the real greek bankside'|1|'the real greek bankside')}||/->/city-restaurants#search{'search by name or location'= 'the real greek bankside'|0|'the real greek bankside')}
can I book on 24 jul 2019 at 6:30 in the evening for 11 guests,Restaurant->Restaurant availability#find table{'time'= '18:30'|1|'6:30 in the evening'; 'date'= '24 jul'|1|'24 jul 2019'; 'number of people'= 'for 11'|1|'11 guests')}
I would like for you to make this reservation for me for 15:00,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'15:00')}
aqua shard may work can you tell me more about it,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'aqua shard'|1|'aqua shard')}
go ahead with the reservation under my name brian smith,Reservation form->Reservation confirmation#continue reservation{'first name'= 'brian'|0|'brian'; 'last name'= 'smith'|0|'smith')}
where is edinburgh,/->/city-restaurants#search{'search by name or location'= 'edinburgh'|0|'edinburgh')}
more on manchester,/->/city-restaurants#search{'search by name or location'= 'manchester'|0|'manchester')}
can I book on 11 dec 2019 at 4:00 in the afternoon for about 11 people,Restaurant->Restaurant availability#find table{'time'= '16:00'|1|'4:00 in the afternoon'; 'date'= '11 dec'|1|'11 dec 2019'; 'number of people'= 'for 11'|1|'about 11 people')}
anything free at 9:30,Restaurant->Restaurant availability#find table{'time'= '9:30'|1|'9:30')}
can I book on july 25 2019 at 5:30 pm time for just me,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'5:30 pm time'; 'date'= '25 jul'|1|'july 25  2019'; 'number of people'= 'for 1'|1|'just me')}
is 19:30 still available,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'19:30')}
can I get a table here for 8:15 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'8:15 pm in the evening')}
do they have any table left on november 13 2019,Restaurant->Restaurant availability#find table{'date'= '13 nov'|1|'november 13  2019')}
do have availability for me and 2 kids,Restaurant->Restaurant availability#find table{'number of people'= 'for 3'|1|'me and 2 kids')}
can I get a table here for 6:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 in the evening')}
show me more information for the real greek bankside,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'the real greek bankside'|1|'the real greek bankside')}||/->/city-restaurants#search{'search by name or location'= 'the real greek bankside'|0|'the real greek bankside')}
what about a table here at 9:00 night time for a party of 9 people,Restaurant->Restaurant availability#find table{'time'= '21:00'|1|'9:00 night time'; 'number of people'= 'for 9'|1|'a party of 9 people')}
is it available for 18:00,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'18:00')}
what's the avaiability on july 2 2019,Restaurant->Restaurant availability#find table{'date'= '2 jul'|1|'july 2  2019')}
reserve for brian taylor and specify mark_taylor@outlook.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '4401233624'|0|'4401233624')}
is it available on 26 dec 2019 at 11:30 in the morning,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30 in the morning'; 'date'= '26 dec'|1|'26 dec 2019')}
complete the reservation for 4:00 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 pm in the afternoon')}
Is the restaurant available at 6 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|"6 o'clock")}
can you reserve on august 26 2019 for just for 4,Restaurant->Restaurant availability#find table{'date'= '26 aug'|1|'august 26  2019'; 'number of people'= 'for 4'|1|'just for 4')}
reserve for mark taylor and specify david123@gmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '3122345786'|0|'3122345786')}
what's the availability on october 18 2019 for 8 persons,Restaurant->Restaurant availability#find table{'date'= '18 oct'|1|'october 18  2019'; 'number of people'= 'for 8'|1|'8 persons')}
can they accomodate the 5 of us on 20 aug 2019,Restaurant->Restaurant availability#find table{'date'= '20 aug'|1|'20 aug 2019'; 'number of people'= 'for 5'|1|'the 5 of us')}
find me ask italian edinburgh restaurants,/->/search-listings/#search{'restaurant name or location'= 'ask italian edinburgh'|0|'ask italian edinburgh')}
finalize the reservation for 3:30 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 pm in the afternoon')}
can they accomodate 4 persons on 18 dec 2019,Restaurant->Restaurant availability#find table{'date'= '18 dec'|1|'18 dec 2019'; 'number of people'= 'for 4'|1|'4 persons')}
what are those with afternoon tea cuisine,/search-listings/->/search-listings/#cuisine{'cuisine'= 'afternoon tea'|1|'afternoon tea')}
what's the availability on september 3 2019 for 11 guests,Restaurant->Restaurant availability#find table{'date'= '3 sep'|1|'september 3  2019'; 'number of people'= 'for 11'|1|'11 guests')}
can you get me a table at this one at 4:00 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 pm in the afternoon')}
get a table here for 4:45 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm time')}
anything free at 11:30,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30')}
filter by bank & st. paul's,/search-listings/->/search-listings/#location{'location'= "bank & st. paul's"|1|"bank & st. paul's")}
Is the restaurant available at 6:45 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 pm time')}
what's the availability on 31 jul 2019 for 11 persons,Restaurant->Restaurant availability#find table{'date'= '31 jul'|1|'31 jul 2019'; 'number of people'= 'for 11'|1|'11 persons')}
is it available on august 22 2019 at noon time,Restaurant->Restaurant availability#find table{'time'= '0:00'|1|'noon time'; 'date'= '22 aug'|1|'august 22  2019')}
I would like for you to make this reservation for me for 8:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 in the evening')}
do they have any table left on 24 sep 2019,Restaurant->Restaurant availability#find table{'date'= '24 sep'|1|'24 sep 2019')}
I need a reservation at this place at 16:00,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'16:00')}
is it available for 5:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 evening time')}
can I book on 27 dec 2019 at 6:30 in the morning for 3 persons,Restaurant->Restaurant availability#find table{'time'= '6:30'|1|'6:30 in the morning'; 'date'= '27 dec'|1|'27 dec 2019'; 'number of people'= 'for 3'|1|'3 persons')}
can I book on 15 jul 2019 at 8:30 pm time for 5 people,Restaurant->Restaurant availability#find table{'time'= '20:30'|1|'8:30 pm time'; 'date'= '15 jul'|1|'15 jul 2019'; 'number of people'= 'for 5'|1|'5 people')}
filter the results by italian,/search-listings/->/search-listings/#cuisine{'cuisine'= 'italian'|1|'italian')}
how booked it is on august 5 2019,Restaurant->Restaurant availability#find table{'date'= '5 aug'|1|'august 5  2019')}
can I book on 2 jul 2019 at 6:30 pm in the evening for a group of 4 friends,Restaurant->Restaurant availability#find table{'time'= '18:30'|1|'6:30 pm in the evening'; 'date'= '2 jul'|1|'2 jul 2019'; 'number of people'= 'for 4'|1|'a group of 4 friends')}
how booked it is on 31 oct 2019,Restaurant->Restaurant availability#find table{'date'= '31 oct'|1|'31 oct 2019')}
how booked it is on 27 dec 2019,Restaurant->Restaurant availability#find table{'date'= '27 dec'|1|'27 dec 2019')}
make the reservation now for 17:00,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'17:00')}
complete the reservation for 17:00,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'17:00')}
what people say about this place,Restaurant->Restaurant#reviews{'reviews'= 'reviews'|1|'what people say about this place')}
filter by french cuisine,/search-listings/->/search-listings/#cuisine{'cuisine'= 'french'|1|'french')}
can you reserve on november 15 2019 for 5 persons,Restaurant->Restaurant availability#find table{'date'= '15 nov'|1|'november 15  2019'; 'number of people'= 'for 5'|1|'5 persons')}
can they accomodate 9 persons on 26 aug 2019,Restaurant->Restaurant availability#find table{'date'= '26 aug'|1|'26 aug 2019'; 'number of people'= 'for 9'|1|'9 persons')}
book it at 7:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 pm in the evening')}
can you get me a table at this one at 19:30,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'19:30')}
can I get a table here for 5 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 in the evening')}
can they accomodate 4 persons on november 15 2019,Restaurant->Restaurant availability#find table{'date'= '15 nov'|1|'november 15  2019'; 'number of people'= 'for 4'|1|'4 persons')}
I want to know more about mber,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'mber'|1|'mber')}
make the reservation now for 9 night time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 night time')}
can they accomodate 6 persons on 4 jul 2019,Restaurant->Restaurant availability#find table{'date'= '4 jul'|1|'4 jul 2019'; 'number of people'= 'for 6'|1|'6 persons')}
I want a table here for 4:45 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm in the afternoon')}
confirm my table for 4 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4 in the afternoon')}
confirm my table for 7:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 evening time')}
how booked it is on august 15 2019,Restaurant->Restaurant availability#find table{'date'= '15 aug'|1|'august 15  2019')}
can I get a table here for 8 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 in the evening')}
confirm my table for 6 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6 in the evening')}
can you reserve on december 26 2019 for me and 2 kids,Restaurant->Restaurant availability#find table{'date'= '26 dec'|1|'december 26  2019'; 'number of people'= 'for 3'|1|'me and 2 kids')}
select liverpool,/->/city-restaurants#search{'search by name or location'= 'liverpool'|0|'liverpool')}
book me this restaurant at 16:30,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'16:30')}
select oblix west at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'oblix west at the shard'|1|'oblix west at the shard')}||/->/city-restaurants#search{'search by name or location'= 'oblix west at the shard'|0|'oblix west at the shard')}
what about a table here at 11:00 pm time for 11 people,Restaurant->Restaurant availability#find table{'time'= '23:00'|1|'11:00 pm time'; 'number of people'= 'for 11'|1|'11 people')}
reserve it under mark johnson,Reservation form->Reservation confirmation#continue reservation{'first name'= 'mark'|0|'mark'; 'last name'= 'johnson'|0|'johnson')}
reserve for mark johnson and specify david123@gmail.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'johnson'|0|'johnson'; 'phone number'= '7741234567'|0|'7741234567')}
I want a table here for 6:45 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 in the evening')}
reserve this one and give james miller as contact person,Reservation form->Reservation confirmation#continue reservation{'first name'= 'james'|0|'james'; 'last name'= 'miller'|0|'miller')}
is it available on 16 dec 2019 at 8:30 morning time,Restaurant->Restaurant availability#find table{'time'= '8:30'|1|'8:30 morning time'; 'date'= '16 dec'|1|'16 dec 2019')}
can they accomodate 7 guests on december 5 2019,Restaurant->Restaurant availability#find table{'date'= '5 dec'|1|'december 5  2019'; 'number of people'= 'for 7'|1|'7 guests')}
what's the availability on 8 nov 2019 for 9 guests,Restaurant->Restaurant availability#find table{'date'= '8 nov'|1|'8 nov 2019'; 'number of people'= 'for 9'|1|'9 guests')}
do have availability for me and 2 others,Restaurant->Restaurant availability#find table{'number of people'= 'for 3'|1|'me and 2 others')}
is it available on 9 aug 2019 at 6 morning time,Restaurant->Restaurant availability#find table{'time'= '6:00'|1|'6 morning time'; 'date'= '9 aug'|1|'9 aug 2019')}
how booked it is on july 10 2019,Restaurant->Restaurant availability#find table{'date'= '10 jul'|1|'july 10  2019')}
can they accomodate a party of 7 people on july 15 2019,Restaurant->Restaurant availability#find table{'date'= '15 jul'|1|'july 15  2019'; 'number of people'= 'for 7'|1|'a party of 7 people')}
how booked it is on 30 dec 2019,Restaurant->Restaurant availability#find table{'date'= '30 dec'|1|'30 dec 2019')}
avaiability for 20:00,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'20:00')}
what's the avaiability on october 1 2019,Restaurant->Restaurant availability#find table{'date'= '1 oct'|1|'october 1  2019')}
what's the availability on 5 sep 2019 for just for 7,Restaurant->Restaurant availability#find table{'date'= '5 sep'|1|'5 sep 2019'; 'number of people'= 'for 7'|1|'just for 7')}
how booked it is on 23 aug 2019,Restaurant->Restaurant availability#find table{'date'= '23 aug'|1|'23 aug 2019')}
anything free at 8:00 am in the morning,Restaurant->Restaurant availability#find table{'time'= '8:00'|1|'8:00 am in the morning')}
can you reserve on 19 sep 2019 for 12 guests,Restaurant->Restaurant availability#find table{'date'= '19 sep'|1|'19 sep 2019'; 'number of people'= 'for 12'|1|'12 guests')}
what's the availability on 31 jul 2019 for just for 2,Restaurant->Restaurant availability#find table{'date'= '31 jul'|1|'31 jul 2019'; 'number of people'= 'for 2'|1|'just for 2')}
make a reservation for this for 20:15,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'20:15')}
reserve for mark taylor and specify bsmith@hotmail.com as email and 3124569876 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'bsmith@hotmail.com'|0|'bsmith@hotmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '3124569876'|0|'3124569876')}
can you reserve on october 10 2019 for just me,Restaurant->Restaurant availability#find table{'date'= '10 oct'|1|'october 10  2019'; 'number of people'= 'for 1'|1|'just me')}
more information for the restaurant jamies st mary at hill,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'jamies st mary at hill'|1|'jamies st mary at hill')}
book it at 8:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 pm time')}
display south east london,/search-listings/->/search-listings/#location{'location'= 'south east london'|1|'south east london')}
what about a table here at 10:30 in the morning for just 3,Restaurant->Restaurant availability#find table{'time'= '10:30'|1|'10:30 in the morning'; 'number of people'= 'for 3'|1|'just 3')}
what's the availability on august 28 2019 for 9 people,Restaurant->Restaurant availability#find table{'date'= '28 aug'|1|'august 28  2019'; 'number of people'= 'for 9'|1|'9 people')}
what's the availability on september 5 2019 for 7 people,Restaurant->Restaurant availability#find table{'date'= '5 sep'|1|'september 5  2019'; 'number of people'= 'for 7'|1|'7 people')}
london may work can you tell me more about it,/->/city-restaurants#search{'search by name or location'= 'london'|0|'london')}
is it available on 24 oct 2019 at 9:30 am in the morning,Restaurant->Restaurant availability#find table{'time'= '9:30'|1|'9:30 am in the morning'; 'date'= '24 oct'|1|'24 oct 2019')}
can I book on 5 aug 2019 at 17:30 for 2 people,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'17:30'; 'date'= '5 aug'|1|'5 aug 2019'; 'number of people'= 'for 2'|1|'2 people')}
book it at 7:00 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 pm in the evening')}
I would like for you to make this reservation for me for 6:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 pm time')}
yes complete the reservation,Reservation form->Reservation confirmation#continue reservation{}
can I book on 24 sep 2019 at 5:30 evening time for just for 5,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'5:30 evening time'; 'date'= '24 sep'|1|'24 sep 2019'; 'number of people'= 'for 5'|1|'just for 5')}
get a table here for 6:45 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 pm in the evening')}
how booked it is on november 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 nov'|1|'november 4  2019')}
can I book on 1 nov 2019 at 4:30 in the afternoon for a party of 2,Restaurant->Restaurant availability#find table{'time'= '16:30'|1|'4:30 in the afternoon'; 'date'= '1 nov'|1|'1 nov 2019'; 'number of people'= 'for 2'|1|'a party of 2')}
is it available on december 25 2019 at 12:00 am in the morning,Restaurant->Restaurant availability#find table{'time'= '12:00'|1|'12:00 am in the morning'; 'date'= '25 dec'|1|'december 25  2019')}
can they accomodate the 12 of us on 31 jul 2019,Restaurant->Restaurant availability#find table{'date'= '31 jul'|1|'31 jul 2019'; 'number of people'= 'for 12'|1|'the 12 of us')}
confirm my table for 7:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 in the evening')}
how booked it is on december 10 2019,Restaurant->Restaurant availability#find table{'date'= '10 dec'|1|'december 10  2019')}
what about a table here at 8 morning time for 7 guests,Restaurant->Restaurant availability#find table{'time'= '8:00'|1|'8 morning time'; 'number of people'= 'for 7'|1|'7 guests')}
book me this restaurant at 3 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3 pm time')}
can I book on august 14 2019 at 12 night time for about 11 people,Restaurant->Restaurant availability#find table{'time'= '0:00'|1|'12 night time'; 'date'= '14 aug'|1|'august 14  2019'; 'number of people'= 'for 11'|1|'about 11 people')}
confirm my table for 8:15 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'8:15 pm in the evening')}
place the reservation for 8:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 in the evening')}
book me this restaurant at 16:00,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'16:00')}
reserve it under david smith,Reservation form->Reservation confirmation#continue reservation{'first name'= 'david'|0|'david'; 'last name'= 'smith'|0|'smith')}
can I book on july 26 2019 at 11:30 for a party of 6 people,Restaurant->Restaurant availability#find table{'time'= '11:30'|1|'11:30'; 'date'= '26 jul'|1|'july 26  2019'; 'number of people'= 'for 6'|1|'a party of 6 people')}
I want to reserve for 20:15,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'20:15')}
can you reserve on 3 oct 2019 for 1,Restaurant->Restaurant availability#find table{'date'= '3 oct'|1|'3 oct 2019'; 'number of people'= 'for 1'|1|'1')}
can I book on 11 oct 2019 at 9:30 in the morning for 4 people,Restaurant->Restaurant availability#find table{'time'= '9:30'|1|'9:30 in the morning'; 'date'= '11 oct'|1|'11 oct 2019'; 'number of people'= 'for 4'|1|'4 people')}
reserve it for me under david taylor,Reservation form->Reservation confirmation#continue reservation{'first name'= 'david'|0|'david'; 'last name'= 'taylor'|0|'taylor')}
reserve for brian smith and specify bsmith@hotmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'bsmith@hotmail.com'|0|'bsmith@hotmail.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'smith'|0|'smith'; 'phone number'= '3122345786'|0|'3122345786')}
can they accomodate me and 2 sons on 17 sep 2019,Restaurant->Restaurant availability#find table{'date'= '17 sep'|1|'17 sep 2019'; 'number of people'= 'for 3'|1|'me and 2 sons')}
is 3:30 in the afternoon still available,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 in the afternoon')}
is it available on 4 nov 2019 at 7 evening time,Restaurant->Restaurant availability#find table{'time'= '19:00'|1|'7 evening time'; 'date'= '4 nov'|1|'4 nov 2019')}
Is the restaurant available at 7:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 evening time')}
reserve it for me under tom fanet,Reservation form->Reservation confirmation#continue reservation{'first name'= 'tom'|0|'tom'; 'last name'= 'fanet'|0|'fanet')}
get a table here for 6:45 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 evening time')}
do have availability for just for 7,Restaurant->Restaurant availability#find table{'number of people'= 'for 7'|1|'just for 7')}
what about a table here at 10 night time for 3 persons,Restaurant->Restaurant availability#find table{'time'= '22:00'|1|'10 night time'; 'number of people'= 'for 3'|1|'3 persons')}
Is the restaurant available at 6:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 in the evening')}
can they accomodate me and 2 kids on 19 sep 2019,Restaurant->Restaurant availability#find table{'date'= '19 sep'|1|'19 sep 2019'; 'number of people'= 'for 3'|1|'me and 2 kids')}
can they accomodate 7 people on 18 jul 2019,Restaurant->Restaurant availability#find table{'date'= '18 jul'|1|'18 jul 2019'; 'number of people'= 'for 7'|1|'7 people')}
is it available on november 20 2019 at 1:30 pm time,Restaurant->Restaurant availability#find table{'time'= '13:30'|1|'1:30 pm time'; 'date'= '20 nov'|1|'november 20  2019')}
can I book on 13 aug 2019 at 1:30 in the morning for a group of 11 friends,Restaurant->Restaurant availability#find table{'time'= '1:30'|1|'1:30 in the morning'; 'date'= '13 aug'|1|'13 aug 2019'; 'number of people'= 'for 11'|1|'a group of 11 friends')}
finalize the reservation for 20:00,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'20:00')}
complete the reservation for 3:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 pm time')}
is 6:00 in the evening still available,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 in the evening')}
is 7 evening time still available,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 evening time')}
what's the availability on december 10 2019 for 10 people,Restaurant->Restaurant availability#find table{'date'= '10 dec'|1|'december 10  2019'; 'number of people'= 'for 10'|1|'10 people')}
anything free at 9:30 night time,Restaurant->Restaurant availability#find table{'time'= '21:30'|1|'9:30 night time')}
can you reserve on 12 aug 2019 for 6 people,Restaurant->Restaurant availability#find table{'date'= '12 aug'|1|'12 aug 2019'; 'number of people'= 'for 6'|1|'6 people')}
how booked it is on 5 aug 2019,Restaurant->Restaurant availability#find table{'date'= '5 aug'|1|'5 aug 2019')}
what's the availability on 18 dec 2019 for the 8 of us,Restaurant->Restaurant availability#find table{'date'= '18 dec'|1|'18 dec 2019'; 'number of people'= 'for 8'|1|'the 8 of us')}
can you reserve on july 11 2019 for just for 7,Restaurant->Restaurant availability#find table{'date'= '11 jul'|1|'july 11  2019'; 'number of people'= 'for 7'|1|'just for 7')}
anything free at 1:00 morning time,Restaurant->Restaurant availability#find table{'time'= '1:00'|1|'1:00 morning time')}
can you reserve on 5 dec 2019 for myself,Restaurant->Restaurant availability#find table{'date'= '5 dec'|1|'5 dec 2019'; 'number of people'= 'for 1'|1|'myself')}
do have availability for 12 persons,Restaurant->Restaurant availability#find table{'number of people'= 'for 12'|1|'12 persons')}
can I book on 3 dec 2019 at 7:30 am in the morning for a party of 7,Restaurant->Restaurant availability#find table{'time'= '7:30'|1|'7:30 am in the morning'; 'date'= '3 dec'|1|'3 dec 2019'; 'number of people'= 'for 7'|1|'a party of 7')}
can you reserve on july 24 2019 for 1,Restaurant->Restaurant availability#find table{'date'= '24 jul'|1|'july 24  2019'; 'number of people'= 'for 1'|1|'1')}
